gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
11970-11970_game_2,LPL,2025,Split 2,0,Invictus Gaming,Blue,0,Yone,Kalista,Rumble,Rell,Tristana,Jayce,Ziggs,Leona,Pantheon,Aurora,LPL,2025,Split 2,0,Bilibili Gaming,Red,1,Gwen,Skarner,Naafiri,Gnar,Ryze,Varus,Lillia,Sion,Corki,Nautilus,0
LOLTMNT06_110153,LEC,2025,Spring,0,Team BDS,Blue,1,Ezreal,Ivern,Vi,Alistar,Nautilus,Skarner,Rell,Azir,Jhin,Gnar,LEC,2025,Spring,0,SK Gaming,Red,0,Nidalee,Maokai,Rumble,Ambessa,Kai'Sa,Varus,Jayce,Lillia,Leona,Yone,1
LOLTMNT06_111152,LEC,2025,Spring,0,Team BDS,Blue,1,Ezreal,Orianna,Viktor,Braum,Kalista,Maokai,Gwen,Miss Fortune,Alistar,Taliyah,LEC,2025,Spring,0,SK Gaming,Red,0,Nidalee,Rumble,Ashe,Tristana,Lucian,Corki,Sejuani,Akali,Nautilus,Hwei,1
LOLTMNT03_213606,LTA S,2025,Split 2,0,FURIA,Blue,1,Vi,Kalista,Rumble,Ashe,Ezreal,Miss Fortune,Skarner,Camille,Alistar,Aurora,LTA S,2025,Split 2,0,Isurus Estral,Red,0,Varus,Gwen,Jayce,Taliyah,Sylas,Ambessa,Sejuani,Ahri,Kai'Sa,Rakan,1
LOLTMNT03_213634,LTA S,2025,Split 2,0,Vivo Keyd Stars,Blue,1,Naafiri,Kalista,Jayce,Jax,Ahri,Gwen,Sejuani,Yone,Kai'Sa,Rakan,LTA S,2025,Split 2,0,RED Canids,Red,0,Rumble,Varus,Miss Fortune,Ashe,Jhin,Aurora,Vi,Ezreal,Akali,Alistar,1
LOLTMNT06_111156,LEC,2025,Spring,0,Karmine Corp,Blue,1,Vi,Gwen,Maokai,Sejuani,Xin Zhao,Jayce,Ezreal,Taliyah,Alistar,Naafiri,LEC,2025,Spring,0,Fnatic,Red,0,Kalista,Yone,Skarner,Pantheon,Poppy,Varus,Azir,Ambessa,Wukong,Rakan,1
LOLTMNT03_213678,LTA S,2025,Split 2,0,Leviatan,Blue,1,Varus,Naafiri,Vi,Orianna,Ahri,Jayce,Sejuani,Taliyah,Kalista,Neeko,LTA S,2025,Split 2,0,Fluxo W7M,Red,0,Yone,Gwen,Skarner,Ezreal,Miss Fortune,Rumble,Ashe,Nocturne,Aurora,Karma,1
LOLTMNT06_110166,LEC,2025,Spring,0,Fnatic,Blue,1,Maokai,Yone,Kalista,Gwen,Nidalee,Zyra,Rell,Miss Fortune,Viktor,Gnar,LEC,2025,Spring,0,Karmine Corp,Red,0,Vi,Rumble,Skarner,K'Sante,Jax,Ashe,Corki,Braum,Brand,Aatrox,1
LOLTMNT06_110171,LEC,2025,Spring,0,Karmine Corp,Blue,0,Vi,Skarner,Galio,Jarvan IV,Xin Zhao,Maokai,Nautilus,Xayah,Ahri,K'Sante,LEC,2025,Spring,0,Fnatic,Red,1,Kalista,Yone,Draven,Sylas,Gwen,Rumble,Kai'Sa,Leona,Pantheon,Tristana,0
LOLTMNT03_213710,LTA S,2025,Split 2,0,LOUD,Blue,0,Yone,Maokai,Jayce,Kalista,Ashe,Rumble,Miss Fortune,Skarner,Azir,Alistar,LTA S,2025,Split 2,0,paiN Gaming,Red,1,Varus,Vi,Sejuani,Ahri,Taliyah,Gwen,Corki,Ivern,Ezreal,Braum,0
LOLTMNT03_214777,LTA N,2025,Split 2,0,Shopify Rebellion,Blue,0,Kalista,Jayce,Sejuani,Poppy,Rumble,Naafiri,Ezreal,Aurora,Ambessa,Leona,LTA N,2025,Split 2,0,Cloud9,Red,1,Gwen,Yone,Ryze,K'Sante,Galio,Varus,Taliyah,Vi,Gnar,Alistar,0
LOLTMNT03_213794,LTA N,2025,Split 2,0,Team Liquid,Blue,1,Vi,Yone,Gwen,Ambessa,Sion,Varus,Xin Zhao,Jayce,Azir,Poppy,LTA N,2025,Split 2,0,100 Thieves,Red,0,Rumble,Taliyah,Skarner,Cassiopeia,Renata Glasc,Naafiri,Miss Fortune,Ryze,Alistar,Aatrox,1
LOLTMNT03_214834,LTA N,2025,Split 2,0,Disguised,Blue,0,Varus,Akali,Cassiopeia,Nautilus,Pantheon,Vi,Azir,Ezreal,Poppy,Jayce,LTA N,2025,Split 2,0,FlyQuest,Red,1,Kalista,Rumble,Yone,Alistar,Braum,Taliyah,Corki,Xin Zhao,Rell,Yorick,0
LOLTMNT03_214856,LTA N,2025,Split 2,0,LYON,Blue,1,Poppy,Kalista,Jayce,Azir,Taliyah,Varus,Naafiri,Ryze,Alistar,Wukong,LTA N,2025,Split 2,0,Dignitas,Red,0,Yone,Sejuani,Vi,Jax,Nautilus,Gwen,Ezreal,Xin Zhao,Tristana,Karma,1
11971-11971_game_1,LPL,2025,Split 2,0,EDward Gaming,Blue,1,Yone,Renekton,Vi,Alistar,Corki,Rumble,Xin Zhao,Ahri,Jhin,Nautilus,LPL,2025,Split 2,0,LNG Esports,Red,0,Taliyah,Gwen,Varus,Kalista,Kai'Sa,Ryze,Naafiri,Ambessa,Miss Fortune,Rell,1
